"x","y"
"1682812800000","829564098"
"1682899200000","830131943"
"1682985600000","830814053"
"1683072000000","831271254"
"1683158400000","831761978"
"1683244800000","832252641"
"1683331200000","832665349"
"1683417600000","833264393"
"1683504000000","833875260"
"1683590400000","834450375"
"1683676800000","835047021"
"1683763200000","835719335"
"1683849600000","836265458"
"1683936000000","836775014"
"1684022400000","837351712"
"1684108800000","837983993"
"1684195200000","838508474"
"1684281600000","839075171"
"1684368000000","839657694"
"1684454400000","840134477"
"1684540800000","840649210"
"1684627200000","841074573"
"1684713600000","841560486"
"1684800000000","842061818"
"1684886400000","842579418"
"1684972800000","842984627"
"1685059200000","843445111"
"1685145600000","843977742"
"1685232000000","844449266"
"1685318400000","844944976"
"1685404800000","845495738"
"1685491200000","846010668"
"1685577600000","846432762"
"1685664000000","846787556"
"1685750400000","847267574"
"1685836800000","847649292"
"1685923200000","848012545"
"1686009600000","848371801"
"1686096000000","848834517"
"1686182400000","849267903"
"1686268800000","849675386"
"1686355200000","850061602"
"1686441600000","850426006"
"1686528000000","850826536"
"1686614400000","851197923"
"1686700800000","851607276"
"1686787200000","851937544"
"1686873600000","852362214"
"1686960000000","852874552"
"1687046400000","853349762"
"1687132800000","853788201"
"1687219200000","854204009"
"1687305600000","854652044"
"1687392000000","855016294"
"1687478400000","855407618"
"1687564800000","855781779"
"1687651200000","856142438"
"1687737600000","856526345"
"1687824000000","856929056"
"1687910400000","857363958"
"1687996800000","857696006"
"1688083200000","858133601"
"1688169600000","858579406"
"1688256000000","858904884"
"1688342400000","859212253"
"1688428800000","859541735"
"1688515200000","859921094"
"1688601600000","860413870"
"1688688000000","860806006"
"1688774400000","861362642"
"1688860800000","861935811"
"1688947200000","862529837"
"1689033600000","863037178"
"1689120000000","863470411"
"1689206400000","863950135"
"1689292800000","864323567"
"1689379200000","864745819"
"1689465600000","865230259"
"1689552000000","865825568"
"1689638400000","866253233"
"1689724800000","866836092"
"1689811200000","867317745"
"1689897600000","867718519"
"1689984000000","868041114"
"1690070400000","868330248"
"1690156800000","868888852"
"1690243200000","869420674"
"1690329600000","869881904"
"1690416000000","870335062"
"1690502400000","870747604"
"1690588800000","871197669"
"1690675200000","871620602"
"1690761600000","872266572"
"1690848000000","872712644"
"1690934400000","873123201"
"1691020800000","873515235"
"1691107200000","873990405"
"1691193600000","874309941"
"1691280000000","874810797"
"1691366400000","875417941"
"1691452800000","875844657"
"1691539200000","876176483"
"1691625600000","876683680"
"1691712000000","877040464"
"1691798400000","877547682"
"1691884800000","878051199"
"1691971200000","878550205"
"1692057600000","879116599"
"1692144000000","879700157"
"1692230400000","880269214"
"1692316800000","880768245"
"1692403200000","881192206"
"1692489600000","881712238"
"1692576000000","882324258"
"1692662400000","882874631"
"1692748800000","883294423"
"1692835200000","883712238"
"1692921600000","884113026"
"1693008000000","884538734"
"1693094400000","885036076"
"1693180800000","885449713"
"1693267200000","885780234"
"1693353600000","886281348"
"1693440000000","886688161"
"1693526400000","887126454"
"1693612800000","887544663"
"1693699200000","888085033"
"1693785600000","888711147"
"1693872000000","889283606"
"1693958400000","889746462"
"1694044800000","890231866"
"1694131200000","890770975"
"1694217600000","891184188"
"1694304000000","891781604"
"1694390400000","892339650"
"1694476800000","892799688"
"1694563200000","893261344"
"1694649600000","893773507"
"1694736000000","894350189"
"1694822400000","895054866"
"1694908800000","895646989"
"1694995200000","896259253"
"1695081600000","896896158"
"1695168000000","897387893"
"1695254400000","897941446"
"1695340800000","898371573"
"1695427200000","898813117"
"1695513600000","899443311"
"1695600000000","899883181"
"1695686400000","900168813"
"1695772800000","900479922"
"1695859200000","900817492"
"1695945600000","901195814"
"1696032000000","901525840"
"1696118400000","901801274"
"1696204800000","902121653"
"1696291200000","902465341"
"1696377600000","902775980"
"1696464000000","903063250"
"1696550400000","903383323"
"1696636800000","903681819"
"1696723200000","903926001"
"1696809600000","904168578"
"1696896000000","904451509"
"1696982400000","904737004"
"1697068800000","905002043"
"1697155200000","905269186"
"1697241600000","905548967"
"1697328000000","905812653"
"1697414400000","906066430"
"1697500800000","906365163"
"1697587200000","906660247"
"1697673600000","906932091"
"1697760000000","907213455"
"1697846400000","907509916"
"1697932800000","907779086"
"1698019200000","908030025"
"1698105600000","908334308"
"1698192000000","908707814"
"1698278400000","909185230"
"1698364800000","909615890"
"1698451200000","910068620"
"1698537600000","910634065"
"1698624000000","911043105"
"1698710400000","911506299"
"1698796800000","911939924"
"1698883200000","912404125"
"1698969600000","912807567"
"1699056000000","913262246"
"1699142400000","913960440"
"1699228800000","914632831"
"1699315200000","915071920"
"1699401600000","915522161"
"1699488000000","916106091"
"1699574400000","916679882"
"1699660800000","917204210"
"1699747200000","917830353"
"1699833600000","918534829"
"1699920000000","918962076"
"1700006400000","919486107"
"1700092800000","920048531"
"1700179200000","920676461"
"1700265600000","921213486"
"1700352000000","921842625"
"1700438400000","922553830"
"1700524800000","923192383"
"1700611200000","923716138"
"1700697600000","924252457"
"1700784000000","924839602"
"1700870400000","925463209"
"1700956800000","926080200"
"1701043200000","926658637"
"1701129600000","927137454"
"1701216000000","927585786"
"1701302400000","927946728"
"1701388800000","928357959"
"1701475200000","928854719"
"1701561600000","929284567"
"1701648000000","929992908"
"1701734400000","930562927"
"1701820800000","931077955"
"1701907200000","931545434"
"1701993600000","931918061"
"1702080000000","932329201"
"1702166400000","932917928"
"1702252800000","933452445"
"1702339200000","933978865"
"1702425600000","934522487"
"1702512000000","935110003"
"1702598400000","935679332"
"1702684800000","936312887"
"1702771200000","936952126"
"1702857600000","937569042"
"1702944000000","938209850"
"1703030400000","938872489"
"1703116800000","939454845"
"1703203200000","940042742"
"1703289600000","940668085"
"1703376000000","941276895"
"1703462400000","942001587"
"1703548800000","942536098"
"1703635200000","943090132"
"1703721600000","943634656"
"1703808000000","944052234"
"1703894400000","944632318"
"1703980800000","945167644"
"1704067200000","945896255"
"1704153600000","946556126"
"1704240000000","946923536"
"1704326400000","947424793"
"1704412800000","947908585"
"1704499200000","948329345"
"1704585600000","948711575"
"1704672000000","949060433"
"1704758400000","949474934"
"1704844800000","949942768"
"1704931200000","950326939"
"1705017600000","950775529"
"1705104000000","951150999"
"1705190400000","951806034"
"1705276800000","952396479"
"1705363200000","952804824"
"1705449600000","953274980"
"1705536000000","953724623"
"1705622400000","954208051"
"1705708800000","954668345"
"1705795200000","955233068"
"1705881600000","955832047"
"1705968000000","956288205"
"1706054400000","956656644"
"1706140800000","957028168"
"1706227200000","957370904"
"1706313600000","957865037"
"1706400000000","958462221"
"1706486400000","959098510"
"1706572800000","959673171"
"1706659200000","960197091"
"1706745600000","960641403"
"1706832000000","961054349"
"1706918400000","961484454"
"1707004800000","962000059"
"1707091200000","962335639"
"1707177600000","962616556"
"1707264000000","962895075"
"1707350400000","963322737"
"1707436800000","963607899"
"1707523200000","963941941"
"1707609600000","964341289"
"1707696000000","964670904"
"1707782400000","965081012"
"1707868800000","965393032"
"1707955200000","965690056"
"1708041600000","965994483"
"1708128000000","966305833"
"1708214400000","966635397"
"1708300800000","966978466"
"1708387200000","967344189"
"1708473600000","967741094"
"1708560000000","968111669"
"1708646400000","968477026"
"1708732800000","968883453"
"1708819200000","969225553"
"1708905600000","969645493"
"1708992000000","970001601"
"1709078400000","970388777"
"1709164800000","970802816"
"1709251200000","971209730"
"1709337600000","971629098"
"1709424000000","971968577"
"1709510400000","972353464"
"1709596800000","972714605"
"1709683200000","973139068"
"1709769600000","973521020"
"1709856000000","973958672"
